Row ID,#water_source,#water_tech,Water Source Type
5914,,DUG WELL,Unprotected dug well
392326,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
178993,,STAND POST,Public tap or standpipe
127650,Dug Well,INDUS,Unprotected dug well
338020,Unprotected Spring,,Unprotected spring
61417,,Non-Mechanized Borehole,Borehole or tubewell
320481,,Protected spring,Protected spring
270625,,Protected spring,Protected spring
211379,,Deep borehole,Borehole or tubewell
284960,,Protected spring,Protected spring
239726,,Deep borehole,Borehole or tubewell
118182,Dug Well,,Unprotected dug well
192143,,DUG WELL,Unprotected dug well
202335,Spring,Solar Pump,Protected spring
230068,,Protected spring,Protected spring
224962,,Deep borehole,Borehole or tubewell
395487,Borehole,Manual/foot-Afridev,Borehole or tubewell
183201,,TUBE WELL,Borehole or tubewell
339357,Protected Deep Borehole,,Borehole or tubewell
350016,,Gravity Fed System with Pump,Null
7330,,DUG WELL,Unprotected dug well
52149,Hand-drilled tube well,SWN 80 Hand pump,Borehole or tubewell
117754,Tube Well,PAMIR,Borehole or tubewell
60477,,Mechanized Borehole-Generator,Borehole or tubewell
310388,,Rainwater Harvest Tank,Rainwater
129143,Dug Well,INDUS,Unprotected dug well
145686,Tube Well,INDUS,Borehole or tubewell
26408,Shallow well,Nira/Tanira Hand pump,Protected dug well
215808,,Deep borehole,Borehole or tubewell
160220,Boreholes,Manual (hand pump),Borehole or tubewell
180239,,TUBE WELL,Borehole or tubewell
392115,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
279700,,Shallow well,Unprotected dug well
258818,,Shallow well,Unprotected dug well
212453,,Protected spring,Protected spring
117258,Tube Well,,Borehole or tubewell
77163,Pump on hand-dug well,India Mark,Protected dug well
244999,,Valley Tank,Null
132158,Tube Well,INDUS,Borehole or tubewell
217018,,Deep borehole,Borehole or tubewell
219006,,Deep borehole,Borehole or tubewell
389674,Borehole,,Borehole or tubewell
194661,,DUG WELL,Unprotected dug well
349668,,Protected Spring Catchment,Protected spring
67678,Water Kiosk with Tank,,Public tap or standpipe
281464,,Yard tap for public use,Piped into public tap or basin
6311,,DUG WELL,Unprotected dug well
15551,Spring,Gravity Communal standpipe,Protected spring
313164,,Protected spring,Protected spring
229971,,Deep borehole,Borehole or tubewell
167923,Manual pump on hand-dug well,Afridev,Protected dug well
64963,Standpipe or Tapstand,,Public tap or standpipe
199911,,DUG WELL,Unprotected dug well
98926,Protected Well (no pump),,Protected dug well
117427,Tube Well,INDUS,Borehole or tubewell
14787,Rainwater harvesting,Gravity Communal standpipe multiple,Rainwater
397177,,Hand pumps/Number of hand pumps,Borehole or tubewell
10405,,DUG WELL,Unprotected dug well
238533,,Deep borehole,Borehole or tubewell
13721,,DUG WELL,Unprotected dug well
218257,,Shallow well,Unprotected dug well
194291,,DUG WELL,Unprotected dug well
114412,Tube Well,Other,Borehole or tubewell
52729,Shallow well,Nira/Tanira Hand pump,Protected dug well
293449,,Rainwater Harvest Tank,Rainwater
314415,,Deep borehole,Borehole or tubewell
224401,,Deep borehole,Borehole or tubewell
215643,,Deep borehole,Borehole or tubewell
339543,Protected Deep Borehole,,Borehole or tubewell
142800,Stand Post,,Public tap or standpipe
143281,DE,PAMIR,Null
18000,Machine-drilled borehole,Mono Communal standpipe multiple,Borehole or tubewell
151346,Dug Well,PAMIR,Unprotected dug well
198882,,DUG WELL,Unprotected dug well
260452,,Deep borehole,Borehole or tubewell
110833,Tube Well,INDUS,Borehole or tubewell
278955,,Shallow well,Unprotected dug well
321704,,Deep borehole,Borehole or tubewell
79453,Protected Well (no pump),Bucket,Protected dug well
320418,,Rainwater Harvest Tank,Rainwater
160051,Boreholes,,Borehole or tubewell
201639,,Gravity Water Supply,Null
297509,,Rainwater Harvest Tank,Rainwater
12949,,DUG WELL,Unprotected dug well
395465,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
2024,,DUG WELL,Unprotected dug well
129631,Tube Well,INDUS,Borehole or tubewell
317289,,Protected spring,Protected spring
80218,Protected Well (no pump),Bucket,Protected dug well
348692,,Kiosk with Piped Supply,Public tap or standpipe
53112,Shallow well,Nira/Tanira Hand pump,Protected dug well
7218,,TUBE WELL,Borehole or tubewell
315484,,Protected spring,Protected spring
126479,Tube Well,PAMIR,Borehole or tubewell
197367,,DUG WELL,Unprotected dug well
337919,Protected dug well,Hand Pump|Afridev,Protected dug well
207967,,Protected spring,Protected spring
62019,,Non-Mechanized Borehole,Borehole or tubewell
116146,Stand Post,,Public tap or standpipe
628,,DUG WELL,Unprotected dug well
25336,River/Lake,Other - Hydram Communal standpipe,Surface water
224206,,Shallow well,Unprotected dug well
174739,Manual pump on hand-dug well,Afridev,Protected dug well
239599,,Deep borehole,Borehole or tubewell
241879,,Public Stand Post,Public tap or standpipe
350022,,PHED Piped Supply System,Null
195220,,DUG WELL,Unprotected dug well
321140,,Public Stand Post,Public tap or standpipe
387825,Borehole,IMK II,Borehole or tubewell
115532,Tube Well,INDUS,Borehole or tubewell
147577,Tube Well,PAMIR,Borehole or tubewell
116370,Stand Post,,Public tap or standpipe
286506,,Deep borehole,Borehole or tubewell
307235,,Protected spring,Protected spring
240459,,Deep borehole,Borehole or tubewell
229321,,Shallow well,Unprotected dug well
350579,,Temple Pump (Mandir Pump),Borehole or tubewell
142104,Tube Well,INDUS,Borehole or tubewell
212536,,Public Stand Post,Public tap or standpipe
277909,,Yard tap for public use,Piped into public tap or basin
334723,Protected dug well,Hand manual|Other|,Protected dug well
161423,Boreholes,Manual (hand pump),Borehole or tubewell
336816,Unprotected Spring,,Unprotected spring
339888,Protected Deep Borehole,,Borehole or tubewell
176640,Manual pump on hand-dug well,India Mark,Protected dug well
316402,,Protected spring,Protected spring
230458,,Deep borehole,Borehole or tubewell
215832,,Deep borehole,Borehole or tubewell
211960,,Deep borehole,Borehole or tubewell
118022,Dug Well,,Unprotected dug well
284080,,Public Stand Post,Public tap or standpipe
396995,,Hand pumps/Number of hand pumps,Borehole or tubewell
308793,,Shallow well,Unprotected dug well
203974,,Deep borehole,Borehole or tubewell
128012,Tube Well,PAMIR,Borehole or tubewell
262035,,Protected spring,Protected spring
326148,mechanic borehole,Afridev,Borehole or tubewell
11261,,TUBE WELL,Borehole or tubewell
79927,Pump on hand-dug well,India Mark,Protected dug well
389234,Borehole,IMK II,Borehole or tubewell
324799,,Yard tap for public use,Piped into public tap or basin
220713,,Shallow well,Unprotected dug well
337687,Public tap/standpipe (stand alone or water kiosk,Submersible pump|Electricity,Public tap or standpipe
84162,Standpipe or Tapstand,,Public tap or standpipe
246881,,Protected spring,Protected spring
150478,Stand Post,,Public tap or standpipe
76691,Standpipe or Tapstand,,Public tap or standpipe
312106,,Rainwater Harvest Tank,Rainwater
212921,,Deep borehole,Borehole or tubewell
97676,Standpipe or Tapstand,,Public tap or standpipe
4154,,TUBE WELL,Borehole or tubewell
317062,,Shallow well,Unprotected dug well
209558,,Protected spring,Protected spring
310193,,Shallow well,Unprotected dug well
280887,,Public Stand Post,Public tap or standpipe
323742,,Public Stand Post,Public tap or standpipe
55392,Shallow well,Nira/Tanira Hand pump,Protected dug well
150697,Stand Post,,Public tap or standpipe
62390,,Non-Mechanized Borehole,Borehole or tubewell
257748,,Deep borehole,Borehole or tubewell
338673,,Surface water,Surface water
192276,,DUG WELL,Unprotected dug well
205334,,Protected spring,Protected spring
282477,,Protected spring,Protected spring
216726,,Deep borehole,Borehole or tubewell
221770,,Protected spring,Protected spring
390860,Borehole,,Borehole or tubewell
397799,,Hand pumps/Number of hand pumps,Borehole or tubewell
260800,,Deep borehole,Borehole or tubewell
102135,Protected Well (no pump),Bucket,Protected dug well
255759,,Kiosk,Public tap or standpipe
333208,gravity fed standpipe,no pump,Piped into public tap or basin
65336,Protected Well (no pump),Bucket,Protected dug well
334088,Tubewell or borehole,Submersible pump|Diesel,Borehole or tubewell
309963,,Protected spring,Protected spring
320270,,Protected spring,Protected spring
294244,,Deep borehole,Borehole or tubewell
288109,,Rainwater Harvest Tank,Rainwater
198480,,DUG WELL,Unprotected dug well
159587,Stand Post,,Public tap or standpipe
198819,,DUG WELL,Unprotected dug well
181226,,DUG WELL,Unprotected dug well
337989,Protected Spring,Gravity,Protected spring
54567,Machine-drilled borehole,KSB Communal standpipe multiple,Borehole or tubewell
97913,Standpipe or Tapstand,,Public tap or standpipe
203148,,Deep borehole,Borehole or tubewell
111776,Stand Post,,Public tap or standpipe
206677,,Deep borehole,Borehole or tubewell
353253,Tap stands/public stand posts,Pumped piped system (Ground water based),Public tap or standpipe
987,,DUG WELL,Unprotected dug well
394584,,Tap stands/public stand posts - Gravity Fed System,Piped into public tap or basin
99140,Pump on hand-dug well,Unidentified,Protected dug well
333043,gravity fed standpipe,no pump,Piped into public tap or basin
4554,,STAND POST,Public tap or standpipe
398145,,Hand pumps/Number of hand pumps,Borehole or tubewell
215118,,Deep borehole,Borehole or tubewell
237634,,Deep borehole,Borehole or tubewell
245455,,Deep borehole,Borehole or tubewell
158287,Dug Well,,Unprotected dug well
93098,Pump on borehole,Kardia,Borehole or tubewell
292262,,Deep borehole,Borehole or tubewell
26830,Rainwater harvesting,None Communal standpipe,Rainwater
207757,,Deep borehole,Borehole or tubewell
270920,,Deep borehole,Borehole or tubewell
313540,,Rainwater Harvest Tank,Rainwater
214684,,Shallow well,Unprotected dug well
95474,Pump on borehole,PB Mark II,Borehole or tubewell
26858,Spring,Gravity Communal standpipe multiple,Protected spring
176998,Manual pump on hand-dug well,Consallen,Protected dug well
199632,,TUBE WELL,Borehole or tubewell
395399,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
31969,Spring,Gravity Communal standpipe,Protected spring
209680,,Deep borehole,Borehole or tubewell
