Row ID,#water_source,#water_tech,Water Source Type
166477,Manual pump on hand-dug well,elephant pump,Protected dug well
294171,,Shallow well,Unprotected dug well
142023,Tube Well,INDUS,Borehole or tubewell
163437,Manual pump on hand-dug well,Afridev,Protected dug well
241799,,Protected spring,Protected spring
167322,Manual pump on hand-dug well,Afridev,Protected dug well
184009,,TUBE WELL,Borehole or tubewell
320018,,Protected spring,Protected spring
17780,Machine-drilled borehole,Gravity Communal standpipe multiple,Borehole or tubewell
225003,,Deep borehole,Borehole or tubewell
175909,Manual pump on hand-dug well,Afridev,Protected dug well
60642,,Non-Mechanized Borehole,Borehole or tubewell
260323,,Shallow well,Unprotected dug well
142191,Tube Well,PAMIR,Borehole or tubewell
333808,Tube well or borehole,Submersible pump|Diesel,Borehole or tubewell
280406,,Protected spring,Protected spring
148936,Tube Well,KABUL,Borehole or tubewell
94063,Pump on borehole,India Mark,Borehole or tubewell
177391,Manual pump on hand-dug well,Afridev,Protected dug well
229365,,Public Stand Post,Public tap or standpipe
195160,,DUG WELL,Unprotected dug well
18810,Machine-drilled borehole,Mono Communal standpipe,Borehole or tubewell
260141,,Deep borehole,Borehole or tubewell
317591,,Public Stand Post,Public tap or standpipe
313047,,Rainwater Harvest Tank,Rainwater
324438,,Public Stand Post,Public tap or standpipe
253652,,Public Stand Post,Public tap or standpipe
162141,Boreholes,Hand pump,Borehole or tubewell
244721,,Deep borehole,Borehole or tubewell
111021,Stand Post,,Public tap or standpipe
207562,,Deep borehole,Borehole or tubewell
283791,,Shallow well,Unprotected dug well
306267,,Rainwater Harvest Tank,Rainwater
61268,,Non-Mechanized Borehole,Borehole or tubewell
101538,Water Kiosk with Tank,,Public tap or standpipe
14006,,DUG WELL,Unprotected dug well
9384,,DUG WELL,Unprotected dug well
163343,Manual pump on hand-dug well,Afridev,Protected dug well
125597,Dug Well,INDUS,Unprotected dug well
219033,,Deep borehole,Borehole or tubewell
129514,Dug Well,KABUL,Unprotected dug well
84952,Pump on hand-dug well,India Mark,Protected dug well
51301,Spring,Gravity Communal standpipe,Protected spring
324571,,Protected spring,Protected spring
181327,,TUBE WELL,Borehole or tubewell
31966,Spring,Gravity Improved spring,Protected spring
129352,Dug Well,,Unprotected dug well
394520,,Protected Spring Catchment - Gravity Fed System,Protected spring
201400,,Hand Dug Well,Unprotected dug well
146342,Tube Well,INDUS,Borehole or tubewell
218374,,Shallow well,Unprotected dug well
215304,,Deep borehole,Borehole or tubewell
313597,,Public Stand Post,Public tap or standpipe
394284,,Protected Spring Catchment,Protected spring
308965,,Dam,Surface water
32137,Spring,Gravity Improved spring,Protected spring
237591,,Shallow well,Unprotected dug well
205341,,Protected spring,Protected spring
246194,,Deep borehole,Borehole or tubewell
282208,,Shallow well,Unprotected dug well
175157,stand pipe,Not a manual pump,Public tap or standpipe
275213,,Public Stand Post,Public tap or standpipe
282663,,Protected spring,Protected spring
227012,,Deep borehole,Borehole or tubewell
60150,,Non-Mechanized Borehole,Borehole or tubewell
76401,Standpipe or Tapstand,,Public tap or standpipe
253512,,Public Stand Post,Public tap or standpipe
57719,,Non-Mechanized Borehole,Borehole or tubewell
79113,Pump on hand-dug well,India Mark,Protected dug well
227845,,Rainwater Harvest Tank,Rainwater
109385,Protected Well (no pump),Bucket,Protected dug well
163992,Manual pump on hand-dug well,Afridev,Protected dug well
4626,,STAND POST,Public tap or standpipe
191190,,DUG WELL,Unprotected dug well
240201,,Deep borehole,Borehole or tubewell
311536,,Rainwater Harvest Tank,Rainwater
242141,,Deep borehole,Borehole or tubewell
308507,,Rainwater Harvest Tank,Rainwater
309642,,Rainwater Harvest Tank,Rainwater
334218,Dam or pan,Hand manual,Surface water
101391,Pump on hand-dug well,Afridev,Protected dug well
321324,,Protected spring,Protected spring
212505,,Deep borehole,Borehole or tubewell
283312,,Shallow well,Unprotected dug well
220807,,Deep borehole,Borehole or tubewell
280505,,Deep borehole,Borehole or tubewell
310470,,Rainwater Harvest Tank,Rainwater
195544,,DUG WELL,Unprotected dug well
272113,,Rainwater Harvest Tank,Rainwater
134046,Tube Well,KABUL,Borehole or tubewell
101529,Pump on hand-dug well,Afridev,Protected dug well
273208,,Deep borehole,Borehole or tubewell
95651,Pump on hand-dug well,India Mark,Protected dug well
178480,Manual pump on hand-dug well,Afridev,Protected dug well
217993,,Deep borehole,Borehole or tubewell
218433,,Protected spring,Protected spring
335439,Unprotected dug well,,Unprotected dug well
389053,HDW,Submersible,Null
57026,Shallow well,Nira/Tanira Hand pump,Protected dug well
93884,Pump on hand-dug well,PB Mark II,Protected dug well
276740,,Rainwater Harvest Tank,Rainwater
65868,Pump on hand-dug well,India Mark,Protected dug well
125680,Dug Well,PAMIR,Unprotected dug well
285518,,Rainwater Harvest Tank,Rainwater
6530,,DUG WELL,Unprotected dug well
389775,Borehole,,Borehole or tubewell
191248,,TUBE WELL,Borehole or tubewell
24884,Spring,Other - Electric pump Communal standpipe,Protected spring
141661,Tube Well,,Borehole or tubewell
64498,Pump on hand-dug well,India Mark,Protected dug well
323551,,Public Stand Post,Public tap or standpipe
291149,,Shallow well,Unprotected dug well
52770,Machine Drilled Borehole,Submersible Communal standpipe multiple,Borehole or tubewell
310599,,Rainwater Harvest Tank,Rainwater
219595,,Deep borehole,Borehole or tubewell
164861,Manual pump on hand-dug well,Consallen,Protected dug well
294382,,Protected spring,Protected spring
166995,Manual pump on hand-dug well,Afridev,Protected dug well
56602,Machine-drilled borehole,Mono Communal standpipe,Borehole or tubewell
289849,,Yard tap for public use,Piped into public tap or basin
246839,,Protected spring,Protected spring
205592,,Deep borehole,Borehole or tubewell
14846,Spring,Gravity Communal standpipe multiple,Protected spring
292071,,Deep borehole,Borehole or tubewell
125717,Tube Well,PAMIR,Borehole or tubewell
200010,,DUG WELL,Unprotected dug well
150201,Tube Well,PAMIR,Borehole or tubewell
49608,Machine Drilled Borehole,Submersible Communal standpipe multiple,Borehole or tubewell
6254,,TUBE WELL,Borehole or tubewell
318406,,Yard tap for public use,Piped into public tap or basin
53689,Hand-drilled tube well,Nira/Tanira Hand pump,Borehole or tubewell
62881,,Non-Mechanized Borehole,Borehole or tubewell
162915,Manual pump on hand-dug well,Consallen,Protected dug well
207751,,Deep borehole,Borehole or tubewell
180580,,TUBE WELL,Borehole or tubewell
50568,Shallow well,Nira/Tanira Hand pump,Protected dug well
98974,Pump on hand-dug well,India Mark,Protected dug well
31587,Shallow well,Nira/Tanira Hand pump,Protected dug well
335615,Protected dug well,Hand manual,Protected dug well
16764,Shallow well,Nira/Tanira Hand pump,Protected dug well
202918,,Shallow well,Unprotected dug well
11859,,DUG WELL,Unprotected dug well
151505,Dug Well,INDUS,Unprotected dug well
338987,,Borehole with hand pump,Borehole or tubewell
256251,,Protected spring,Protected spring
338502,Sand/Sub-surface dam,Hand manual|Hand (manual),Null
390581,Borehole,IMK II,Borehole or tubewell
132137,Tube Well,INDUS,Borehole or tubewell
7365,,DUG WELL,Unprotected dug well
245868,,Protected spring,Protected spring
276155,,Shallow well,Unprotected dug well
164265,Manual pump on borehole,India Mark,Borehole or tubewell
210551,,Deep borehole,Borehole or tubewell
255211,,Deep borehole,Borehole or tubewell
126910,Stand Post,,Public tap or standpipe
51935,Hand-drilled tube well,SWN 80 Hand pump,Borehole or tubewell
201921,,Protected well with mechanical pump,Protected dug well
288810,,Public Stand Post,Public tap or standpipe
312027,,Rainwater Harvest Tank,Rainwater
278481,,Shallow well,Unprotected dug well
94344,Water Kiosk with Tank,,Public tap or standpipe
30493,River/Lake,Gravity Communal standpipe,Surface water
288195,,Rainwater Harvest Tank,Rainwater
321348,,Protected spring,Protected spring
230643,,Deep borehole,Borehole or tubewell
27069,Spring,Gravity Communal standpipe multiple,Protected spring
337173,Protected dug well,Hand Pump|Afridev,Protected dug well
208694,,Deep borehole,Borehole or tubewell
296822,,Public Stand Post,Public tap or standpipe
82074,Protected Well (no pump),Bucket,Protected dug well
160122,Dams,"Hand / manual (e.g. rope pump, rope & bucket)",Surface water
16479,Machine-drilled borehole,Submersible Communal standpipe multiple,Borehole or tubewell
215203,,Rainwater Harvest Tank,Rainwater
298144,,Rainwater Harvest Tank,Rainwater
211596,,Protected spring,Protected spring
18821,Machine-drilled borehole,Mono Communal standpipe multiple,Borehole or tubewell
397672,,Hand pumps/Number of hand pumps,Borehole or tubewell
161796,Boreholes,Manual (hand pump),Borehole or tubewell
339559,Private Tap,,Piped into to yard/plot
31198,Shallow well,None Other,Unprotected dug well
184016,,DUG WELL,Unprotected dug well
167242,Manual pump on hand-dug well,Afridev,Protected dug well
263152,,Protected spring,Protected spring
285105,,Deep borehole,Borehole or tubewell
99440,Pump on hand-dug well,India Mark,Protected dug well
291222,,Protected spring,Protected spring
54463,Machine-drilled borehole,Submersible Communal standpipe multiple,Borehole or tubewell
398237,,Hand pumps/Number of hand pumps,Borehole or tubewell
62087,,Hand Dug Well,Unprotected dug well
162913,Manual pump on hand-dug well,Afridev,Protected dug well
217488,,Protected spring,Protected spring
310898,,Rainwater Harvest Tank,Rainwater
77985,Protected Well (no pump),Bucket,Protected dug well
9685,,DUG WELL,Unprotected dug well
227270,,Protected spring,Protected spring
307683,,Public Stand Post,Public tap or standpipe
160441,Dams,"Hand / manual (e.g. rope pump, rope & bucket)",Surface water
133927,Tube Well,INDUS,Borehole or tubewell
280880,,Kiosk,Public tap or standpipe
54490,Shallow well,Nira/Tanira Hand pump,Protected dug well
219659,,Shallow well,Unprotected dug well
143840,Stand Post,,Public tap or standpipe
60736,,Non-Mechanized Borehole,Borehole or tubewell
242731,,Rainwater Harvest Tank,Rainwater
280812,,Protected spring,Protected spring
323408,,Yard tap for public use,Piped into public tap or basin
218395,,Public Stand Post,Public tap or standpipe
133216,Tube Well,PAMIR,Borehole or tubewell
282494,,Shallow well,Unprotected dug well
96088,Pump on hand-dug well,India Mark,Protected dug well
191093,,DUG WELL,Unprotected dug well
387836,Borehole,IMK II,Borehole or tubewell
323654,,Public Stand Post,Public tap or standpipe
255887,,Deep borehole,Borehole or tubewell
6197,,TUBE WELL,Borehole or tubewell
18678,Spring,Gravity Communal standpipe,Protected spring
317949,,Rainwater Harvest Tank,Rainwater
198004,,DUG WELL,Unprotected dug well
243383,,Protected spring,Protected spring
259952,,Shallow well,Unprotected dug well
161762,Boreholes,Manual (hand pump),Borehole or tubewell
134159,Tube Well,,Borehole or tubewell
10597,,DUG WELL,Unprotected dug well
313539,,Protected spring,Protected spring
242689,,Protected spring,Protected spring
9826,,DUG WELL,Unprotected dug well
198501,,TUBE WELL,Borehole or tubewell
77626,Pump on hand-dug well,India Mark,Protected dug well
339669,Protected Deep Borehole,,Borehole or tubewell
85404,Standpipe or Tapstand,,Public tap or standpipe
93902,Protected Well (no pump),Bucket,Protected dug well
134090,Tube Well,INDUS,Borehole or tubewell
93188,Pump on hand-dug well,Kardia,Protected dug well
350588,,Temple Pump (Mandir Pump),Borehole or tubewell
30964,Not recorded,Gravity Not recorded,Null
190843,,DUG WELL,Unprotected dug well
349014,,Kiosk with Piped Supply,Public tap or standpipe
133988,Tube Well,PAMIR,Borehole or tubewell
17708,Machine-drilled borehole,Mono Communal standpipe,Borehole or tubewell
197055,,DUG WELL,Unprotected dug well
214700,,Deep borehole,Borehole or tubewell
219503,,Deep borehole,Borehole or tubewell
259727,,Shallow well,Unprotected dug well
283721,,Shallow well,Unprotected dug well
164545,Manual pump on hand-dug well,Afridev,Protected dug well
148829,Tube Well,INDUS,Borehole or tubewell
290860,,Shallow well,Unprotected dug well
299627,,Rainwater Harvest Tank,Rainwater
165239,Manual pump on hand-dug well,Kardia,Protected dug well
61378,,Mechanized Borehole,Borehole or tubewell
394274,,Protected Spring Catchment,Protected spring
113214,Tube Well,INDUS,Borehole or tubewell
352338,,Temple Pump (Mandir Pump),Borehole or tubewell
14431,,DUG WELL,Unprotected dug well
396764,,Hand pumps/Number of hand pumps,Borehole or tubewell
293163,,Deep borehole,Borehole or tubewell
134280,Tube Well,KABUL,Borehole or tubewell
58119,,Non-Mechanized Borehole,Borehole or tubewell
254341,,Deep borehole,Borehole or tubewell
217656,,Shallow well,Unprotected dug well
294019,,Shallow well,Unprotected dug well
283227,,Rainwater Harvest Tank,Rainwater
94265,Protected Well (no pump),Bucket,Protected dug well
218116,,Shallow well,Unprotected dug well
334938,Unprotected dug well,,Unprotected dug well
244873,,Public Stand Post,Public tap or standpipe
181866,,STAND POST,Public tap or standpipe
271602,,Protected spring,Protected spring
150081,Dug Well,INDUS,Unprotected dug well
18949,Machine-drilled borehole,Other Communal standpipe,Borehole or tubewell
66705,Pump on hand-dug well,India Mark,Protected dug well
350775,,Temple Pump (Mandir Pump),Borehole or tubewell
316077,,Yard tap for public use,Piped into public tap or basin
14824,Spring,Gravity Communal standpipe,Protected spring
191595,,DUG WELL,Unprotected dug well
218024,,Shallow well,Unprotected dug well
320901,,Rainwater Harvest Tank,Rainwater
340073,not completed,,Null
211040,,Shallow well,Unprotected dug well
132947,Dug Well,INDUS,Unprotected dug well
32272,Hand-drilled tube well,SWN 80 Hand pump,Borehole or tubewell
280193,,Protected spring,Protected spring
396898,,Hand pumps/Number of hand pumps,Borehole or tubewell
280895,,Public Stand Post,Public tap or standpipe
178942,,TUBE WELL,Borehole or tubewell
131199,Tube Well,INDUS,Borehole or tubewell
396430,,Hand pumps/Number of hand pumps,Borehole or tubewell
334527,Rain water,Gravity|Other|tap,Rainwater
256089,,Deep borehole,Borehole or tubewell
69278,Protected Well (no pump),Bucket,Protected dug well
290284,,Shallow well,Unprotected dug well
95886,Standpipe or Tapstand,,Public tap or standpipe
100609,Pump on hand-dug well,Afridev,Protected dug well
323317,,Protected spring,Protected spring
275660,,Rainwater Harvest Tank,Rainwater
240245,,Deep borehole,Borehole or tubewell
273475,,Rainwater Harvest Tank,Rainwater
318566,,Protected spring,Protected spring
295171,,Protected spring,Protected spring
192039,,DUG WELL,Unprotected dug well
163965,Manual pump on hand-dug well,Consallen,Protected dug well
65833,Protected Well (no pump),Bucket,Protected dug well
307979,,Protected spring,Protected spring
92613,Protected Well (no pump),Bucket,Protected dug well
352904,,Gravity Fed System,Null
257788,,Rainwater Harvest Tank,Rainwater
334927,Rain water,Others|Other|tap|tap,Rainwater
311136,,Public Stand Post,Public tap or standpipe
129442,Dug Well,KABUL,Unprotected dug well
183447,,DUG WELL,Unprotected dug well
241531,,Deep borehole,Borehole or tubewell
180204,,TUBE WELL,Borehole or tubewell
113380,Dug Well,INDUS,Unprotected dug well
324952,,Public Stand Post,Public tap or standpipe
229557,,Deep borehole,Borehole or tubewell
307857,,Public Stand Post,Public tap or standpipe
145638,Stand Post,,Public tap or standpipe
307166,,Yard tap for public use,Piped into public tap or basin
49855,Machine Drilled Borehole,Submersible Communal standpipe multiple,Borehole or tubewell
116691,Tube Well,INDUS,Borehole or tubewell
1602,,DUG WELL,Unprotected dug well
3027,,DUG WELL,Unprotected dug well
201521,,Spot Spring,Unprotected spring
256185,,Shallow well,Unprotected dug well
162982,Manual pump on hand-dug well,Afridev,Protected dug well
202408,Spring,Gravity fed,Protected spring
110730,Standpipe or Tapstand,,Public tap or standpipe
99944,Pump on hand-dug well,India Mark,Protected dug well
111997,Tube Well,INDUS,Borehole or tubewell
101890,Pump on borehole,Afridev,Borehole or tubewell
396552,,Hand pumps/Number of hand pumps,Borehole or tubewell
214081,,Kiosk,Public tap or standpipe
206607,,Protected spring,Protected spring
163670,Water Kiosk with elevated tank,Not a manual pump,Public tap or standpipe
391548,Borehole,,Borehole or tubewell
237555,,Deep borehole,Borehole or tubewell
203194,,Shallow well,Unprotected dug well
115256,Tube Well,INDUS,Borehole or tubewell
243544,,Shallow well,Unprotected dug well
258132,,Shallow well,Unprotected dug well
93255,Standpipe or Tapstand,,Public tap or standpipe
316944,,Protected spring,Protected spring
273538,,Deep borehole,Borehole or tubewell
111328,Dug Well,,Unprotected dug well
76119,Pump on hand-dug well,India Mark,Protected dug well
97280,Protected Well (no pump),Bucket,Protected dug well
215328,,Deep borehole,Borehole or tubewell
165070,Manual pump on hand-dug well,Afridev,Protected dug well
144077,Stand Post,,Public tap or standpipe
13329,,DUG WELL,Unprotected dug well
258904,,Protected spring,Protected spring
183168,,TUBE WELL,Borehole or tubewell
317437,,Protected spring,Protected spring
296137,,Protected spring,Protected spring
280075,,Shallow well,Unprotected dug well
67660,Standpipe or Tapstand,,Public tap or standpipe
291043,,Deep borehole,Borehole or tubewell
115576,Stand Post,,Public tap or standpipe
69138,Protected Well (no pump),Bucket,Protected dug well
17104,Shallow well,Nira/Tanira Hand pump,Protected dug well
64656,Pump on hand-dug well,India Mark,Protected dug well
184174,,DUG WELL,Unprotected dug well
306457,,Rainwater Harvest Tank,Rainwater
129135,Tube Well,,Borehole or tubewell
394415,,Protected Shallow Well,Protected dug well
263387,,Rainwater Harvest Tank,Rainwater
112442,Dug Well,,Unprotected dug well
215350,,Deep borehole,Borehole or tubewell
109886,Standpipe or Tapstand,,Public tap or standpipe
48977,River/Lake,Gravity Communal standpipe multiple,Surface water
260712,,Deep borehole,Borehole or tubewell
158759,Dug Well,INDUS,Unprotected dug well
351559,,PHE 6 Handpump,Borehole or tubewell
82609,Pump on hand-dug well,Unidentified,Protected dug well
199694,,TUBE WELL,Borehole or tubewell
239881,,Deep borehole,Borehole or tubewell
192526,,DUG WELL,Unprotected dug well
391233,Borehole,IMK II,Borehole or tubewell
242356,,Shallow well,Unprotected dug well
14897,Machine-drilled borehole,Gravity Communal standpipe,Borehole or tubewell
216371,,Protected spring,Protected spring
94435,Pump on borehole,Unidentified,Borehole or tubewell
51855,Hand-drilled tube well,Nira/Tanira Hand pump,Borehole or tubewell
244848,,Public Stand Post,Public tap or standpipe
322452,,Protected spring,Protected spring
221871,,Deep borehole,Borehole or tubewell
297015,,Public Stand Post,Public tap or standpipe
13085,,DUG WELL,Unprotected dug well
159289,Stand Post,,Public tap or standpipe
78893,Pump on hand-dug well,India Mark,Protected dug well
143750,Stand Post,,Public tap or standpipe
114290,Dug Well,,Unprotected dug well
57506,Shallow well,SWN 80 Hand pump,Protected dug well
239645,,Deep borehole,Borehole or tubewell
296104,,Protected spring,Protected spring
15513,River/Lake,Gravity Communal standpipe,Surface water
201469,,Hand Dug Well,Unprotected dug well
218751,,Shallow well,Unprotected dug well
184088,,TUBE WELL,Borehole or tubewell
210568,,Deep borehole,Borehole or tubewell
67493,Standpipe or Tapstand,,Public tap or standpipe
299688,,Rainwater Harvest Tank,Rainwater
334693,Unprotected spring,|Other|Bucket and rope,Unprotected spring
217177,,Deep borehole,Borehole or tubewell
197482,,DUG WELL,Unprotected dug well
146211,Dug Well,KABUL,Unprotected dug well
56742,Shallow well,Nira/Tanira Hand pump,Protected dug well
290027,,Shallow well,Unprotected dug well
26720,Shallow well,SWN 80 Hand pump,Protected dug well
18605,Spring,Gravity Communal standpipe,Protected spring
147701,Tube Well,INDUS,Borehole or tubewell
350288,,System with Pump (MABE),Null
4799,,STAND POST,Public tap or standpipe
290798,,Shallow well,Unprotected dug well
158113,Tube Well,PAMIR,Borehole or tubewell
310555,,Rainwater Harvest Tank,Rainwater
84228,Protected Well (no pump),Bucket,Protected dug well
84983,Pump on hand-dug well,Kardia,Protected dug well
230488,,Shallow well,Unprotected dug well
256768,,Deep borehole,Borehole or tubewell
282357,,Protected spring,Protected spring
201733,,Shallow Well,Unprotected dug well
96856,Protected Well (no pump),Bucket,Protected dug well
338415,Tube well or borehole,Submersible pump|Electricity,Borehole or tubewell
97959,Pump on hand-dug well,India Mark,Protected dug well
334769,Unprotected spring,Hand manual|Other|Bucket and rope,Unprotected spring
391322,Borehole,,Borehole or tubewell
240820,,Shallow well,Unprotected dug well
29651,River/Lake,Gravity Communal standpipe,Surface water
224177,,Public Stand Post,Public tap or standpipe
68055,Standpipe or Tapstand,,Public tap or standpipe
126613,Dug Well,Other,Unprotected dug well
29052,Spring,Gravity Communal standpipe multiple,Protected spring
6515,,DUG WELL,Unprotected dug well
3374,,TUBE WELL,Borehole or tubewell
324855,,Yard tap for public use,Piped into public tap or basin
316373,,Shallow well,Unprotected dug well
286717,,Deep borehole,Borehole or tubewell
7830,,DUG WELL,Unprotected dug well
229615,,Protected spring,Protected spring
320284,,Protected spring,Protected spring
110727,Standpipe or Tapstand,,Public tap or standpipe
16993,Shallow well,SWN 80 Hand pump,Protected dug well
397204,,Hand pumps/Number of hand pumps,Borehole or tubewell
111022,Stand Post,,Public tap or standpipe
324355,,Yard tap for public use,Piped into public tap or basin
125601,Tube Well,INDUS,Borehole or tubewell
319125,,Yard tap for public use,Piped into public tap or basin
63713,Pump on hand-dug well,PB Mark II,Protected dug well
229968,,Deep borehole,Borehole or tubewell
271387,,Shallow well,Unprotected dug well
313169,,Yard tap for public use,Piped into public tap or basin
348954,,Kiosk with Piped Supply,Public tap or standpipe
115606,Dug Well,KABUL,Unprotected dug well
199626,,TUBE WELL,Borehole or tubewell
10244,,DUG WELL,Unprotected dug well
192871,,DUG WELL,Unprotected dug well
338672,,Protected dug well with hand pump,Protected dug well
24131,Spring,Gravity Communal standpipe,Protected spring
210808,,Shallow well,Unprotected dug well
204131,,Deep borehole,Borehole or tubewell
147563,Stand Post,Lorentz,Public tap or standpipe
76798,Protected Well (no pump),Bucket,Protected dug well
323121,,Protected spring,Protected spring
229293,,Yard tap for public use,Piped into public tap or basin
81157,Pump on hand-dug well,India Mark,Protected dug well
3377,,TUBE WELL,Borehole or tubewell
213109,,Deep borehole,Borehole or tubewell
30309,Spring,Gravity Communal standpipe,Protected spring
165978,Manual pump on hand-dug well,Afridev,Protected dug well
238939,,Shallow well,Unprotected dug well
229036,,Protected spring,Protected spring
175258,Manual pump on borehole,Afridev,Borehole or tubewell
81292,Standpipe or Tapstand,,Public tap or standpipe
58150,,Non-Mechanized Borehole,Borehole or tubewell
396463,,Hand pumps/Number of hand pumps,Borehole or tubewell
132933,Tube Well,INDUS,Borehole or tubewell
324190,,Public Stand Post,Public tap or standpipe
142967,Stand Post,,Public tap or standpipe
306750,,Yard tap for public use,Piped into public tap or basin
229809,,Shallow well,Unprotected dug well
319079,,Protected spring,Protected spring
148547,Tube Well,INDUS,Borehole or tubewell
320801,,Public Stand Post,Public tap or standpipe
296434,,Rainwater Harvest Tank,Rainwater
183970,,TUBE WELL,Borehole or tubewell
273841,,Shallow well,Unprotected dug well
176205,Manual pump on hand-dug well,Afridev,Protected dug well
113985,Tube Well,PAMIR,Borehole or tubewell
83593,Protected Well (no pump),Bucket,Protected dug well
177316,Manual pump on hand-dug well,Afridev,Protected dug well
51797,Hand-drilled tube well,SWN 80 Hand pump,Borehole or tubewell
196059,,DUG WELL,Unprotected dug well
294480,,Rainwater Harvest Tank,Rainwater
13487,,STAND POST,Public tap or standpipe
112503,Tube Well,PAMIR,Borehole or tubewell
183269,,TUBE WELL,Borehole or tubewell
166521,Manual pump on hand-dug well,Consallen,Protected dug well
3755,,DUG WELL,Unprotected dug well
243283,,Protected spring,Protected spring
50561,Machine-drilled borehole,India mark II Hand pump,Borehole or tubewell
18812,Machine-drilled borehole,Mono Communal standpipe,Borehole or tubewell
245415,,Deep borehole,Borehole or tubewell
225314,,Deep borehole,Borehole or tubewell
195492,,DUG WELL,Unprotected dug well
52991,Spring,KSB Communal standpipe multiple,Protected spring
64762,Pump on hand-dug well,India Mark,Protected dug well
126378,Dug Well,INDUS,Unprotected dug well
244851,,Public Stand Post,Public tap or standpipe
117151,Tube Well,INDUS,Borehole or tubewell
199619,,DUG WELL,Unprotected dug well
178772,,TUBE WELL,Borehole or tubewell
100739,Pump on hand-dug well,India Mark,Protected dug well
94534,Pump on hand-dug well,India Mark,Protected dug well
147987,Stand Post,,Public tap or standpipe
76986,Pump on hand-dug well,India Mark,Protected dug well
396759,,Hand pumps/Number of hand pumps,Borehole or tubewell
163688,Manual pump on hand-dug well,Afridev,Protected dug well
349614,,PHED Piped Supply System,Null
115915,Tube Well,INDUS,Borehole or tubewell
260435,,Deep borehole,Borehole or tubewell
203943,,Deep borehole,Borehole or tubewell
166591,stand pipe,Not a manual pump,Public tap or standpipe
239751,,Rainwater Harvest Tank,Rainwater
116814,Stand Post,,Public tap or standpipe
94348,Water Kiosk with Tank,,Public tap or standpipe
118625,Tube Well,INDUS,Borehole or tubewell
209998,,Yard tap for public use,Piped into public tap or basin
273150,,Deep borehole,Borehole or tubewell
110771,Protected Well (no pump),Bucket,Protected dug well
388624,Borehole,IMK II,Borehole or tubewell
314705,,Shallow well,Unprotected dug well
82257,Protected Well (no pump),Bucket,Protected dug well
143377,Stand Post,,Public tap or standpipe
201600,,Reservoir,Surface water
12576,,DUG WELL,Unprotected dug well
165779,Manual pump on hand-dug well,Afridev,Protected dug well
337378,Protected Spring,Gravity,Protected spring
1519,,DUG WELL,Unprotected dug well
299560,,Rainwater Harvest Tank,Rainwater
245736,,Deep borehole,Borehole or tubewell
255622,,Shallow well,Unprotected dug well
396058,,CREEK,Null
25986,Rainwater harvesting,Other Communal standpipe,Rainwater
64214,Standpipe or Tapstand,,Public tap or standpipe
25945,River/Lake,Gravity Communal standpipe,Surface water
194865,,DUG WELL,Unprotected dug well
66452,Standpipe or Tapstand,,Public tap or standpipe
262948,,Shallow well,Unprotected dug well
319131,,Yard tap for public use,Piped into public tap or basin
68459,Protected Well (no pump),Bucket,Protected dug well
114775,Tube Well,INDUS,Borehole or tubewell
181201,,TUBE WELL,Borehole or tubewell
216853,,Deep borehole,Borehole or tubewell
183881,,TUBE WELL,Borehole or tubewell
214297,,Deep borehole,Borehole or tubewell
141938,Tube Well,INDUS,Borehole or tubewell
295652,,Protected spring,Protected spring
66426,Pump on hand-dug well,India Mark,Protected dug well
281953,,Protected spring,Protected spring
167648,Manual pump on hand-dug well,Afridev,Protected dug well
311458,,Public Stand Post,Public tap or standpipe
200337,,DUG WELL,Unprotected dug well
261591,,Shallow well,Unprotected dug well
115113,Tube Well,INDUS,Borehole or tubewell
52482,Spring,Gravity Communal stand pipe,Protected spring
76719,Pump on hand-dug well,India Mark,Protected dug well
237141,,Deep borehole,Borehole or tubewell
2709,,STAND POST,Public tap or standpipe
179134,,STAND POST,Public tap or standpipe
191197,,DUG WELL,Unprotected dug well
258295,,Protected spring,Protected spring
148293,Tube Well,INDUS,Borehole or tubewell
388681,Borehole,IMK II,Borehole or tubewell
191966,,TUBE WELL,Borehole or tubewell
5676,,DUG WELL,Unprotected dug well
306549,,Protected spring,Protected spring
27024,Rainwater harvesting,None Communal standpipe,Rainwater
395462,Hand Dug Well,Manual/foot-Afridev,Unprotected dug well
192614,,DUG WELL,Unprotected dug well
78746,Pump on hand-dug well,Kardia,Protected dug well
53070,Shallow well,Walimi Hand pump,Protected dug well
166142,Manual pump on hand-dug well,Afridev,Protected dug well
133052,Tube Well,INDUS,Borehole or tubewell
125868,Tube Well,INDUS,Borehole or tubewell
221607,,Protected spring,Protected spring
239087,,Shallow well,Unprotected dug well
288913,,Public Stand Post,Public tap or standpipe
282176,,Protected spring,Protected spring
110362,Water Kiosk with Tank,,Public tap or standpipe
56652,Shallow well,Nira/Tanira Hand pump,Protected dug well
257742,,Deep borehole,Borehole or tubewell
201814,,Protected handdug well,Protected dug well
238214,,Deep borehole,Borehole or tubewell
257319,,Protected spring,Protected spring
98975,Pump on hand-dug well,India Mark,Protected dug well
64303,Pump on hand-dug well,Kardia,Protected dug well
132815,Dug Well,,Unprotected dug well
212259,,Deep borehole,Borehole or tubewell
228673,,Protected spring,Protected spring
279674,,Shallow well,Unprotected dug well
258426,,Rainwater Harvest Tank,Rainwater
2258,,DUG WELL,Unprotected dug well
77026,Standpipe or Tapstand,,Public tap or standpipe
129961,Dug Well,KABUL,Unprotected dug well
79115,Protected Well (no pump),Bucket,Protected dug well
